Year,Month,Stock_lag_MV,Stock_Ew_Ret,Stock_Vw_Ret
1968,3,563865.0889,-0.010669815,0.005944275
1968,4,567245.811,0.144831896,0.094554295
1968,5,618289.9499,0.091433462,0.027229059
1968,6,633029.9338,0.016414442,0.011252069
1968,7,639661.9686,-0.027208618,-0.022039915
1968,8,623754.6739,0.035678808,0.017745501
1968,9,634482.8146,0.068497996,0.044765884
1968,10,661531.9967,0.00667504,0.008668466
1968,11,665723.0921,0.071638281,0.05851833
1968,12,703924.7154,0.004385343,-0.034987377
1969,1,697357.6106,-0.003639337,-0.007225864
1969,2,692228.8388,-0.086244486,-0.053802645
1969,3,653408.3216,0.019317667,0.03135779
1969,4,673341.0193,0.003059171,0.01989894
1969,5,688479.8127,0.004624195,0.004002217
1969,6,687492.2356,-0.111971368,-0.066741735
1969,7,641135.2122,-0.095993258,-0.064809705
1969,8,600343.5011,0.051698091,0.051906636
1969,9,630717.1784,-0.024260902,-0.023525376
1969,10,614956.8933,0.093789557,0.05653088
1969,11,649767.9564,-0.055816728,-0.032727258
1969,12,626165.6277,-0.066267585,-0.019862029
1970,1,623292.4099,-0.040027941,-0.074823783
1970,2,575958.9521,0.040084079,0.05745337
1970,3,608612.203,-0.024152739,-0.004830718
1970,4,605098.064,-0.162884688,-0.104919252
1970,5,540255.0864,-0.090912491,-0.063927446
1970,6,502994.5451,-0.075375901,-0.052033169
1970,7,476180.4659,0.05699891,0.074390658
1970,8,514034.3779,0.061321826,0.050126288
1970,9,537453.6551,0.126292375,0.047190838
1970,10,562695.2243,-0.059023144,-0.018154607
1970,11,551575.1861,0.002335478,0.050539418
1970,12,577652.9514,0.082509561,0.061522929
1971,1,621415.1339,0.13585125,0.052152824
1971,2,653333.0495,0.048651019,0.017308791
1971,3,661809.2773,0.055917228,0.044238565
1971,4,691313.5993,0.027798329,0.034311361
1971,5,714749.4838,-0.051047633,-0.036909755
1971,6,686717.6525,-0.017916733,0.002823352
1971,7,686490.1784,-0.055754405,-0.040905217
1971,8,659079.1793,0.041756873,0.042572026
1971,9,685265.6114,-0.005281333,-0.004832702
1971,10,681779.3346,-0.058451709,-0.040526585
1971,11,689100.226,-0.033629221,-0.000843276
1971,12,651090.5527,0.11796303,0.090651194
1972,1,724442.6326,0.104124151,0.027708601
1972,2,744659.6848,0.040855319,0.031144039
1972,3,766011.2359,-0.000127226,0.00898755
1972,4,772386.3667,0.000390902,0.005763021
1972,5,777510.3344,-0.019320131,0.015552079
1972,6,786307.7857,-0.03473986,-0.021368267
1972,7,769583.2245,-0.032218178,-0.004857873
1972,8,765689.1549,0.010680054,0.035470271
1972,9,791678.1543,-0.032041737,-0.007948709
1972,10,785875.2839,-0.015837313,0.009153486
1972,11,792553.7768,0.050722249,0.049679172
1972,12,828837.4893,-0.010147963,0.009915322
1973,1,1187702.665,-0.028443631,-0.023444253
1973,2,950428.2854,-0.075787554,-0.044266367
1973,3,904548.7588,-0.031308658,-0.008675896
1973,4,895747.1125,-0.072843358,-0.051554859
1973,5,848735.7999,-0.086723626,-0.024388149
1973,6,824046.1735,-0.041089834,-0.010499025
1973,7,813912.7623,0.106790035,0.056813604
1973,8,858543.4637,-0.045105288,-0.031199394
1973,9,827340.865,0.071632327,0.054257519
1973,10,872375.5057,-0.001472329,-0.001761897
1973,11,870263.9895,-0.173580665,-0.121857872
1973,12,759140.4305,-0.04242238,0.013741342
1974,1,766101.6734,0.130172179,0.004652107
1974,2,768040.1895,0.006819171,0.001134127
1974,3,764400.4476,0.009016482,-0.022556881
1974,4,745814.7396,-0.052601957,-0.045355282
